scenario,algo,noise_mu,action_noise_std,best_reward_with_diffusion,reward_noise_no_diffusion
simple_tag,ERNIE,0,0.4,42.47±21.88,39.78±18.43
simple_tag,ERNIE,0,0.8,23.74±7.33,20.48±4.57
simple_tag,ERNIE,0,1.0,12.97±0.41,16.67±1.58
simple_tag,ERNIE,0,1.2,19.27±5.07,12.80±1.13
simple_tag,ERNIE,0,1.6,12.80±0.85,7.09±0.08
simple_tag,ERNIE,0,2.0,9.10±4.99,2.57±0.91
simple_tag,ERNIE,0,2.4,8.37±3.28,0.23±0.02
simple_tag,ERNIE,0,2.8,8.19±1.44,-0.84±0.35
simple_tag,ERNIE,0,3.0,3.51±4.45,-2.76±1.16
simple_tag,M3DDPG,0,0.0,57.52±39.53,60.71±6.46
simple_tag,M3DDPG,0,0.4,43.53±28.84,37.30±5.32
simple_tag,M3DDPG,0,0.8,27.79±11.80,20.52±4.71
simple_tag,M3DDPG,0,1.0,12.48±2.77,16.67±4.10
simple_tag,M3DDPG,0,1.2,19.38±7.45,11.27±2.02
simple_tag,M3DDPG,0,1.6,15.77±4.62,6.83±1.81
simple_tag,M3DDPG,0,2.0,8.77±4.90,5.11±1.78
simple_tag,M3DDPG,0,2.4,8.91±0.92,0.72±1.63
simple_tag,M3DDPG,0,2.8,10.11±0.93,-1.04±3.42
simple_tag,M3DDPG,0,3.0,4.50±3.65,-1.33±1.29
simple_tag,MADDPG,0,0.0,32.03±17.81,58.30±6.33
simple_tag,MADDPG,0,0.4,32.23±23.80,33.44±2.17
simple_tag,MADDPG,0,0.8,22.95±9.24,18.38±0.63
simple_tag,MADDPG,0,1.0,11.10±1.07,13.45±1.07
simple_tag,MADDPG,0,1.2,15.78±6.81,10.15±0.18
simple_tag,MADDPG,0,1.6,13.98±3.84,7.61±0.76
simple_tag,MADDPG,0,2.0,7.17±3.28,2.20±1.51
simple_tag,MADDPG,0,2.4,8.57±2.98,-0.14±1.47
simple_tag,MADDPG,0,2.8,5.72±0.57,-0.68±1.39
simple_tag,MADDPG,0,3.0,3.40±3.57,-2.69±0.85
simple_tag,RMAAC,0,0.0,79.95±26.85,103.52±2.72
simple_tag,RMAAC,0,0.4,62.19±19.21,54.99±0.33
simple_tag,RMAAC,0,0.8,35.14±5.46,29.55±2.52
simple_tag,RMAAC,0,1.0,20.16±1.87,23.14±0.66
simple_tag,RMAAC,0,1.2,25.55±4.00,20.86±0.10
simple_tag,RMAAC,0,1.6,21.47±0.38,12.95±0.29
simple_tag,RMAAC,0,2.0,13.45±4.94,8.87±1.21
simple_tag,RMAAC,0,2.4,13.00±0.51,6.99±2.66
simple_tag,RMAAC,0,2.8,12.77±2.13,3.25±1.22
simple_tag,RMAAC,0,3.0,8.60±3.81,2.26±0.79
simple_tag,ERNIE,1,0.0,36.73±25.41,45.06±40.47
simple_tag,ERNIE,1,1.0,13.16±2.26,13.68±4.54
simple_tag,ERNIE,1,2.0,6.77±3.04,2.85±1.89
simple_tag,ERNIE,1,3.0,4.32±3.61,-1.53±1.49
simple_tag,M3DDPG,1,0.0,31.27±23.77,41.77±31.27
simple_tag,M3DDPG,1,1.0,13.05±3.39,13.60±3.89
simple_tag,M3DDPG,1,2.0,6.51±2.45,3.40±2.16
simple_tag,M3DDPG,1,3.0,3.31±3.47,-0.66±2.50
simple_tag,MADDPG,1,0.0,20.30±14.47,43.73±31.62
simple_tag,MADDPG,1,1.0,10.39±2.16,11.26±3.10
simple_tag,MADDPG,1,2.0,5.44±2.34,2.56±2.77
simple_tag,MADDPG,1,3.0,3.64±3.48,-1.56±3.36
simple_tag,RMAAC,1,0.0,52.58±35.16,74.45±51.07
simple_tag,RMAAC,1,1.0,20.35±5.27,22.15±2.96
simple_tag,RMAAC,1,2.0,11.32±2.33,9.83±2.32
simple_tag,RMAAC,1,3.0,8.45±3.56,2.25±1.16
